model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
mlp,FashionMNIST,FashionMNIST,tensor(1.9181),0.0,tensor(2.5762),tensor(0.2929)
mlp,FashionMNIST,KMNIST,tensor(4.0186),0.0,tensor(2.4692),tensor(0.3232)
mlp,FashionMNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6522),tensor(0.1818)
mlp,FashionMNIST,SVHN,tensor(2.3052),0.0,tensor(2.6878),tensor(0.0707)
mlp,FashionMNIST,MNIST,tensor(1.8390),0.0,tensor(2.0783),tensor(0.3939)
mlp,FashionMNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.4939),tensor(0.1919)
mlp,FashionMNIST,KMNIST,tensor(2.3026),0.0,tensor(2.3543),tensor(0.1919)
mlp,FashionMNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5015),tensor(0.1717)
mlp,FashionMNIST,SVHN,tensor(2.3289),0.0,tensor(2.5521),tensor(0.1010)
mlp,FashionMNIST,MNIST,tensor(2.5956),0.0,tensor(2.3908),tensor(0.2525)
mlp,FashionMNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.3440),tensor(0.3232)
mlp,FashionMNIST,KMNIST,tensor(2.3026),0.0,tensor(2.9511),tensor(0.2222)
mlp,FashionMNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6847),tensor(0.1212)
mlp,FashionMNIST,SVHN,tensor(2.3026),0.0,tensor(2.3821),tensor(0.1212)
mlp,FashionMNIST,MNIST,tensor(2.1238),0.0,tensor(2.5043),tensor(0.2525)
mlp,FashionMNIST,FashionMNIST,tensor(1.1945),1.0,tensor(2.6753),tensor(0.3030)
mlp,FashionMNIST,KMNIST,tensor(2.6680),0.0,tensor(2.4609),tensor(0.2929)
mlp,FashionMNIST,CIFAR10,tensor(2.1254),0.0,tensor(2.8266),tensor(0.1212)
mlp,FashionMNIST,SVHN,tensor(2.6416),0.0,tensor(2.8234),tensor(0.1111)
mlp,FashionMNIST,MNIST,tensor(2.0793),0.0,tensor(2.1950),tensor(0.4242)
mlp,FashionMNIST,FashionMNIST,tensor(2.4901),0.0,tensor(2.4786),tensor(0.2929)
mlp,FashionMNIST,KMNIST,tensor(2.1844),0.0,tensor(2.6225),tensor(0.2727)
mlp,FashionMNIST,CIFAR10,tensor(2.3357),0.0,tensor(2.7927),tensor(0.1313)
mlp,FashionMNIST,SVHN,tensor(2.5797),0.0,tensor(2.9034),tensor(0.1010)
mlp,FashionMNIST,MNIST,tensor(1.8526),1.0,tensor(2.1950),tensor(0.4040)
mlp,FashionMNIST,FashionMNIST,tensor(3.2081),0.0,tensor(1.9300),tensor(0.4343)
mlp,FashionMNIST,KMNIST,tensor(1.5081),1.0,tensor(2.5617),tensor(0.2929)
mlp,FashionMNIST,CIFAR10,tensor(2.2802),0.0,tensor(3.0933),tensor(0.1313)
mlp,FashionMNIST,SVHN,tensor(2.3272),0.0,tensor(2.7018),tensor(0.1919)
mlp,FashionMNIST,MNIST,tensor(1.5227),1.0,tensor(2.2048),tensor(0.3232)
mlp,FashionMNIST,FashionMNIST,tensor(2.0922),0.0,tensor(2.1126),tensor(0.3737)
mlp,FashionMNIST,KMNIST,tensor(2.6903),0.0,tensor(2.4514),tensor(0.1919)
mlp,FashionMNIST,CIFAR10,tensor(2.4238),0.0,tensor(2.7782),tensor(0.0808)
mlp,FashionMNIST,SVHN,tensor(2.3343),0.0,tensor(2.6965),tensor(0.0707)
