,model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
202,MLP,MNIST,KMNIST,tensor(2.4264),0.0,tensor(2.5965),tensor(0.3232)
203,MLP,MNIST,CIFAR10,tensor(2.3581),0.0,tensor(3.2307),tensor(0.1212)
204,MLP,MNIST,SVHN,tensor(2.3367),0.0,tensor(2.7726),tensor(0.1414)
205,MLP,MNIST,MNIST,tensor(2.4010),0.0,tensor(2.7991),tensor(0.1616)
206,MLP,MNIST,FashionMNIST,tensor(1.5583),1.0,tensor(2.9417),tensor(0.3333)
207,MLP,MNIST,KMNIST,tensor(2.7822),0.0,tensor(3.0158),tensor(0.2525)
208,MLP,MNIST,CIFAR10,tensor(2.3063),0.0,tensor(3.1746),tensor(0.1111)
209,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(3.5876),tensor(0.1010)
210,MLP,MNIST,MNIST,tensor(1.8651),1.0,tensor(2.4957),tensor(0.1818)
211,MLP,MNIST,FashionMNIST,tensor(2.0953),1.0,tensor(2.5727),tensor(0.2727)
212,MLP,MNIST,KMNIST,tensor(2.4762),0.0,tensor(3.1444),tensor(0.2626)
213,MLP,MNIST,CIFAR10,tensor(2.7207),0.0,tensor(3.3537),tensor(0.1616)
214,MLP,MNIST,SVHN,tensor(2.0902),1.0,tensor(2.8548),tensor(0.1212)
215,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.7727),tensor(0.2020)
216,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.5441),tensor(0.1212)
217,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.7112),tensor(0.1111)
218,MLP,MNIST,CIFAR10,tensor(1.9170),1.0,tensor(2.9152),tensor(0.0707)
219,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6056),tensor(0.0808)
220,MLP,MNIST,MNIST,tensor(2.2258),1.0,tensor(2.6823),tensor(0.2121)
221,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.5249),tensor(0.0707)
222,MLP,MNIST,KMNIST,tensor(2.3083),0.0,tensor(2.6761),tensor(0.1313)
223,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6478),tensor(0.1111)
224,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4384),tensor(0.1313)
225,MLP,MNIST,MNIST,tensor(2.3397),0.0,tensor(2.8749),tensor(0.0808)
